104.18.33.18:2087#SG 电信优选[01]
104.18.33.75:443#SG 电信优选[02]
8.39.125.167:2083#SG 电信优选[03]
104.18.33.232:2053#SG 电信优选[04]
8.35.211.97:2096#SG 电信优选[05]
188.164.248.241:2087#SG 电信优选[06]
8.39.125.102:2083#SG 电信优选[07]
104.18.33.174:8443#SG 电信优选[08]
104.18.33.102:443#SG 电信优选[09]
104.18.33.197:2083#SG 电信优选[10]
104.18.33.86:2053#SG 电信优选[11]
104.18.33.189:2083#SG 电信优选[12]
104.18.33.195:2053#SG 电信优选[13]
188.164.248.222:443#SG 电信优选[14]
8.35.211.55:2087#SG 电信优选[15]
8.35.211.177:2083#SG 电信优选[16]
8.39.125.147:2087#SG 电信优选[17]
188.164.248.130:443#SG 电信优选[18]
188.164.248.83:2096#SG 电信优选[19]
8.35.211.204:2087#SG 电信优选[20]
8.35.211.169:2053#SG 电信优选[21]
8.35.211.243:2053#SG 电信优选[22]
8.35.211.120:2053#SG 电信优选[23]
8.39.125.225:2053#SG 电信优选[25]
188.164.248.120:443#SG 电信优选[26]
104.18.33.111:2083#SG 电信优选[27]
8.39.125.240:2087#SG 电信优选[28]
188.164.248.194:2083#SG 电信优选[29]
104.18.33.168:2053#SG 电信优选[30]
104.18.33.128:2053#SG 电信优选[32]
8.35.211.159:2053#SG 电信优选[33]
104.17.163.213:443#US 电信优选[34]
104.17.187.99:2083#US 电信优选[35]
104.17.185.203:443#US 电信优选[36]
104.17.27.30:2083#US 电信优选[37]
104.17.61.100:2083#US 电信优选[39]
104.17.171.245:2087#US 电信优选[40]
104.17.191.247:8443#US 电信优选[41]
104.19.150.205:8443#US 电信优选[42]
104.16.153.117:2087#US 电信优选[43]
104.19.145.121:2083#US 电信优选[44]
190.93.247.58:2096#US 电信优选[46]
104.16.154.71:443#US 电信优选[47]
104.16.153.201:2053#US 电信优选[48]
104.19.32.108:2087#US 电信优选[49]
104.17.147.50:443#US 电信优选[50]
104.19.55.143:443#US 电信优选[51]
104.16.149.11:8443#US 电信优选[53]
104.16.244.73:8443#US 电信优选[54]
104.17.24.55:443#US 电信优选[55]
104.19.54.123:443#US 电信优选[56]
104.17.185.175:8443#US 电信优选[57]
172.66.0.250:2087#US 电信优选[58]
104.17.176.124:2087#US 电信优选[59]
104.16.255.2:8443#US 电信优选[60]
104.17.213.129:2083#US 电信优选[61]
104.19.35.59:443#US 电信优选[62]
104.17.127.127:2087#US 电信优选[63]
104.17.119.189:2053#US 电信优选[64]
104.17.162.212:2053#US 电信优选[65]
204.69.207.101:8443#US 电信优选[66]
88.216.69.117:2053#US 电信优选[67]
185.158.133.100:2087#US 电信优选[68]
8.47.69.35:8443#US 电信优选[69]
8.39.204.107:2083#US 电信优选[70]
172.64.230.73:2053#US 电信优选[71]
45.142.120.26:2053#US 电信优选[72]
45.85.119.3:8443#US 电信优选[73]
188.42.89.77:2096#US 电信优选[74]
194.36.55.41:8443#US 电信优选[75]
154.206.12.14:8443#US 电信优选[76]
195.26.229.116:2053#US 电信优选[77]
167.68.11.0:8443#US 电信优选[78]
213.219.247.115:2096#US 电信优选[79]
185.159.247.157:443#US 电信优选[80]
45.135.235.130:2087#US 电信优选[81]
45.202.113.6:8443#US 电信优选[82]
77.75.199.56:2083#US 电信优选[83]
45.194.53.134:2087#US 电信优选[84]
45.131.6.66:8443#US 电信优选[85]
170.114.45.201:443#US 电信优选[86]
193.233.21.132:8443#US 电信优选[87]
91.209.253.84:2087#US 电信优选[88]
104.239.72.138:8443#US 电信优选[89]
77.75.199.24:2096#US 电信优选[90]
164.38.155.29:2096#US 电信优选[91]
181.214.1.243:2096#US 电信优选[92]
194.36.55.66:2096#US 电信优选[93]
164.38.155.124:443#US 电信优选[94]
185.162.230.55:2083#US 电信优选[95]
194.59.5.145:8443#US 电信优选[96]
108.165.152.94:8443#US 电信优选[97]
5.175.141.42:443#US 电信优选[98]
104.27.86.147:2053#DE 电信优选[99]
172.66.150.247:2087#DE 电信优选[100]
104.20.30.162:2087#DE 电信优选[101]
104.26.3.88:2096#DE 电信优选[102]
172.67.73.18:2096#DE 电信优选[103]
172.66.193.41:8443#DE 电信优选[104]
172.67.215.130:2096#NL 电信优选[105]
104.21.29.119:2053#NL 电信优选[106]
